id,order,year,month,product code,title,module code,type,system,setting,confidence,edition,authors,cover_url,cover_artist,semester,season
754,,1999,8,11327,Silver Anniversary Collector's Edition,,boxed set,AD&D,,likely,,John D. Rateliff,https://www.tsrarchive.com/add/gh-25-keep.jpg,,2,
755,,1999,11,11431,Guide to Hell,,accessory,AD&D,,likely,,Chris Pramas,https://www.tsrarchive.com/add/add-acc-hell.jpg,,2,
756,,1999,,9587,"Van Richten's Monster Hunter's Compendium, Volume One",,accessory,AD&D,Ravenloft,not verified,,,,,,
757,,1999,,9588,"Van Richten's Monster Hunter's Compendium, Volume Two",,accessory,AD&D,Ravenloft,not verified,,,,,,
758,,1999,,9591,Carnival,,accessory,AD&D,Ravenloft,not verified,,,,,,
759,,1999,,9599,Children of the Night: The Created,,accessory,AD&D,Ravenloft,not verified,,,,,,
760,,1999,,11324,Wand of Archeal,,adventure,AD&D,,not verified,,,,,,
761,,1999,,11325,The Accursed Tower,,adventure,AD&D,Forgotten Realms,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/add-adv-circle.jpg,,,
762,,1999,,11326,The Shattered Circle,,adventure,AD&D,,not verified,,Chris Pramas,https://www.tsrarchive.com/add/add-acc-vortex.jpg,,,
763,,1999,,11327,Return to the Keep on the Borderlands,,adventure,AD&D,,not verified,,John D. Rateliff,https://www.tsrarchive.com/add/gh-25-keep.jpg,,,
764,,1999,,11342,Axe of the Dwarvish Lords,,accessory,AD&D,,not verified,,,,,,
765,,1999,,11348,Drizzt Do'Urden's Guide to the Underdark,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
766,,1999,,11348,Skullport,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
767,,1999,,11349,Bastion of Faith,,accessory,AD&D,,not verified,,,,,,
768,,1999,,11350,Dragonlance Classics: 15th Anniversary Edition,,adventure,AD&D,Dragonlance,not verified,,Steve Miller & Stan!,https://www.tsrarchive.com/fa/fa-25-class.jpg,,,
769,,1999,,11358,Campaign Option: Council of Wyrms,,hardcover,AD&D,,not verified,,,,,,
770,,1999,,11360,Ravenloft (25th Anniversary),,adventure,AD&D,Ravenloft,not verified,,,,,,
771,,1999,,11361,Warriors of Heaven,,accessory,AD&D,,not verified,,Christopher Perkins,https://www.tsrarchive.com/add/add-acc-heaven.jpg,,,
772,,1999,,11369,Chaos Spawn: A Chaos War Adventure,,adventure,AD&D,Dragonlance,not verified,,,,,,
773,,1999,,11370,Demihumans of the Realms,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
774,,1999,,11374,The Scarlet Brotherhood,,accessory,AD&D,Greyhawk,not verified,,,,,,
775,,1999,,11392,Dungeons of Despair,,adventure,AD&D,,not verified,,John D. Rateliff & Bruce R. Cordell,https://www.tsrarchive.com/add/add-adv-reverse.jpg,,,
776,,1999,,11393,Sea of Fallen Stars,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
777,,1999,,11393,The Sylvan Veil,,adventure,AD&D,Dragonlance,not verified,,,,,,
778,,1999,,11405,Wyrmskull Throne,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
779,,1999,,11413,Against the Giants: The Liberation of Geoff,,adventure,AD&D,Greyhawk,not verified,,Sean K. Reynolds,https://www.tsrarchive.com/add/gh-25-giants.jpg,,,
780,,1999,,11434,Return to White Plume Mountain,,adventure,AD&D,Greyhawk,not verified,,Bruce R. Cordell,https://www.tsrarchive.com/add/gh-25-plume.jpg,,,
781,,1999,,11445,TSR Jam 1999,,adventure,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-adv-jam.jpg,,,
782,,1999,,11447,Deep Dwarven Delve,L3,adventure,AD&D,Greyhawk,not verified,,,,,,
783,,1999,,11611,"Priest's Spell Compendium, Volume One",,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-psc3.jpg,,,
784,,1999,,11641,Dungeons and Dragons Adventure Game,,boxed set,AD&D,,not verified,,,,,,
785,,1999,,11726,"Priest's Spell Compendium, Volume Two",,accessory,AD&D,,not verified,,,,,,
786,,2013,,A4539,Original D&D Premium Reprint,,boxed set,D&D,,not verified,,"Gygax, Arneson, Kuntz, Blume & Ward",https://www.tsrarchive.com/dd/dd2-3vs-rep.jpg,,,
